"","reef.date","date","reef","sp.gen","tl","abund","biomass","biomass.tot"
"H3_6/22/18.22","H3_6/22/18","6/22/18","H3","Acanthurus coeruleus",15,1,102.9375,102.9375
"H3_6/22/18.26","H3_6/22/18","6/22/18","H3","Acanthurus coeruleus",6,1,6.588,6.588
"H3_6/22/18.36","H3_6/22/18","6/22/18","H3","Acanthurus coeruleus",9,1,22.2345,22.2345
"H3_6/22/18.111","H3_6/22/18","6/22/18","H3","Chaetodon capistratus",6,1,7.89969700326346,7.89969700326346
"H3_6/22/18.120","H3_6/22/18","6/22/18","H3","Haemulon flavolineatum",14,40,57.8984,2315.936
"H3_6/22/18.128","H3_6/22/18","6/22/18","H3","Haemulon flavolineatum",10,40,21.1,844
"H3_6/22/18.134","H3_6/22/18","6/22/18","H3","Haemulon flavolineatum",8,40,10.8032,432.128
"H3_6/22/18.225","H3_6/22/18","6/22/18","H3","Haemulon plumieri",14,40,50.8072064614307,2032.28825845723
"H3_6/22/18.324","H3_6/22/18","6/22/18","H3","Haemulon plumieri",10,40,17.5382142145822,701.528568583288
"H3_6/22/18.391","H3_6/22/18","6/22/18","H3","Haemulon plumieri",8,40,8.66230432207693,346.492172883077
"H3_6/22/18.448","H3_6/22/18","6/22/18","H3","Haemulon aurolineatum",10,40,16.1324378251591,645.297513006365
"H3_6/22/18.454","H3_6/22/18","6/22/18","H3","Haemulon aurolineatum",8,40,7.88572724219466,315.429089687786
"H3_6/22/18.463","H3_6/22/18","6/22/18","H3","Haemulon aurolineatum",14,40,47.4717126372026,1898.8685054881
"H3_6/22/18.524","H3_6/22/18","6/22/18","H3","Holocentrus adscensionis",8,21,10.1376,212.8896
"H3_6/22/18.564","H3_6/22/18","6/22/18","H3","Holocentrus adscensionis",18,10,115.4736,1154.736
"H3_6/22/18.568","H3_6/22/18","6/22/18","H3","Holocentrus adscensionis",10,20,19.8,396
"H3_6/22/18.586","H3_6/22/18","6/22/18","H3","Holocentrus adscensionis",12,60,34.2144,2052.864
"H3_6/22/18.607","H3_6/22/18","6/22/18","H3","Myripristis jacobus",18,15,288.180235991557,4322.70353987335
"H3_6/22/18.616","H3_6/22/18","6/22/18","H3","Myripristis jacobus",12,20,95.652421302053,1913.04842604106
"H3_6/22/18.694","H3_6/22/18","6/22/18","H3","Myripristis jacobus",8,20,31.7488313154602,634.976626309204
"H3_6/22/18.713","H3_6/22/18","6/22/18","H3","Halichoeres bivittatus",6,10,2.5951898762586,25.951898762586
"H3_6/22/18.753","H3_6/22/18","6/22/18","H3","Halichoeres bivittatus",10,5,11.6467512072819,58.2337560364093
"H3_6/22/18.767","H3_6/22/18","6/22/18","H3","Halichoeres bivittatus",8,5,6.04472543664824,30.2236271832412
"H3_6/22/18.902","H3_6/22/18","6/22/18","H3","Gymnothorax vicinus",40,2,198.569435018208,397.138870036416
"H3_6/22/18.983","H3_6/22/18","6/22/18","H3","Scarus iserti",12,15,30.1463995683369,452.195993525053
